id,name,email,phone,specialization,qualifications,experience,clinic_address,image
1,Dr. Arjun Patel,arjun.patel@example.com,+91-9000012345,Cardiologist,MBBSMD (Cardiology),10 years,101 Heart Clinic Delhi,https://example.com/images/arjun_patel.jpg
2,Dr. Meera Singh,meera.singh@example.com,+91-9000012346,Orthopedic Surgeon,MBBSMS (Orthopedics),8 years,102 Bone Care Mumbai,https://example.com/images/meera_singh.jpg
3,Dr. Rajesh Kumar,rajesh.kumar@example.com,+91-9000012347,Neurologist,MBBSDM (Neurology),12 years,103 Neuro Health Center Bangalore,https://example.com/images/rajesh_kumar.jpg
4,Dr. Neha Gupta,neha.gupta@example.com,+91-9000012348,General Physician,MBBSMD (Internal Medicine),15 years,104 Health Clnic Hyderabad,https://example.com/images/neha_gupta.jpg
5,Dr. Anil Sharma,anil.sharma@example.com,+91-9000012349,ENT Specialist,MBBSDLO (ENT),9 years,105 ENT Clinic Chennai,https://example.com/images/anil_sharma.jpg
6,Dr. Priya Patel,priya.patel@example.com,+91-9000012350,Gynecologist,MBBSMD (Obstetrics and Gynecology),11 years,106 Women’s Care  Kolkata,https://example.com/images/priya_patel.jpg
7,Dr. Rahul Mehta,rahul.mehta@example.com,+91-9000012351,Oncologist,MBBSMD (Oncology),14 years,107 Cancer Center Pune,https://example.com/images/rahul_mehta.jpg
8,Dr. Kavita Joshi,kavita.joshi@example.com,+91-9000012352,Endocrinologist,MBBSDM (Endocrinology),7 years,108 Dibetes Care  Ahmedabad,https://example.com/images/kavita_joshi.jpg
9,Dr. Sneha Sharma,sneha.sharma@example.com,+91-9000012353,Pediatrician,MBBSMD (Pediatrics),6 year,109 Child Clinic Jaipur,https://example.com/images/sneha_sharma.jpg
10,Dr. Manish Verma,manish.verma@example.com,+91-9000012354,General Surgeon,MBBSMS (Surgery),13 years,110 Surgical Clinic Surat,https://example.com/images/manish_verma.jpg
11,Dr. Ankur Singh,ankur.singh@example.com,+91-9000012355,Dermatologist,MBBSMD (Dermatology),8 years,111 Skin Health Clinic Delhi,https://example.com/images/ankur_singh.jpg
